application,load,type,compressor,iteration,time,repetition
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.506211280822753,18
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.56378436088562,19
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.49768209457397405,20
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.5109622478485101,21
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48209381103515603,22
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48484110832214306,23
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.509982109069824,24
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.49110674858093206,25
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.49797463417053206,26
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.48428082466125405,27
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.487259626388549,28
YATSERVER,BINCSVH1,INFINITE,zlib,2,0.482451915740966,29
