compressor,mean_0-10 repetições,mean_0-30 repetições,std_0-10 repetições,std_0-30 repetições,std_diff_%,mean_diff_%,application,load,type
entropy,1.164258527755737,1.106744877497355,0.529552968691562,0.39034780092020477,35.661829640949776,5.196649329738543,YATSERVER,BINCSVL1,ALTCONTROL
heif,30.37694444656372,30.656139413515728,1.2380495724285057,1.0104410688275518,22.525658410248063,-0.9107310062300823,YATSERVER,BINCSVL1,ALTCONTROL
ppmd,21.384736156463624,21.30172673861186,1.7204897260405234,1.4308012011004012,20.246595034818842,0.3896839860465488,YATSERVER,BINCSVL1,ALTCONTROL
zlib,6.56101622581482,6.59609150091807,0.0676766141674701,0.0987904823566531,-31.494803392958243,-0.5317584678497631,YATSERVER,BINCSVL1,ALTCONTROL
entropy,0.9764813423156735,1.1329062382380166,0.01137257653584028,0.619498356928619,-98.16422813577364,-13.807399998575981,YATSERVER,BINCSVL1,BCLEAN
heif,182.45740060806276,182.7195010503133,2.4571091218329952,2.35741783752389,4.228833884357798,-0.14344415387736031,YATSERVER,BINCSVL1,BCLEAN
ppmd,2.0567553520202635,1.9786536773045855,0.9722580616596148,0.6990259728275741,39.08754459105596,3.9472129767586073,YATSERVER,BINCSVL1,BCLEAN
zlib,0.5218633651733393,0.5168340444564815,0.012703256591622438,0.00899622090515102,41.20658802796694,0.9731016698303585,YATSERVER,BINCSVL1,BCLEAN
entropy,1.7501278877258297,1.8011490503946936,0.41723337827167806,0.6741606134123952,-38.1106860930706,-2.8327007505394084,YATSERVER,BINCSVL1,INFINITE
heif,129.1660395860672,130.76172527472178,1.167574253301481,2.8039471089396044,-58.359619210398236,-1.220300271583411,YATSERVER,BINCSVL1,INFINITE
ppmd,1.7263093709945676,1.5796146154403685,0.9942862362391927,0.7973272443897844,24.702403340067246,9.28674336893896,YATSERVER,BINCSVL1,INFINITE
zlib,0.51576018333435,0.5402475674947098,0.011786948432599946,0.051579315304611184,-77.14791605318926,-4.532622751808979,YATSERVER,BINCSVL1,INFINITE
entropy,2.510077571868896,2.462517833709717,0.5288800246315992,0.5015082989318326,5.457880908065919,1.9313459382152687,YATSERVER,BINCSVL1,MONO
heif,291.746168923378,293.3712112585703,2.2960618781405264,9.195675710442629,-75.03106948918268,-0.553920177859604,YATSERVER,BINCSVL1,MONO
ppmd,1.850621938705444,1.9272494316101072,0.42473972527323023,0.5134703947922571,-17.280581396504086,-3.97600287995132,YATSERVER,BINCSVL1,MONO
zlib,0.9620470762252802,0.9578330039978024,0.017387888334242693,0.02279172172871646,-23.70963220240268,0.439958970915508,YATSERVER,BINCSVL1,MONO
entropy,8.032453513145446,8.128081504503886,1.3251114899644103,1.4966552949003764,-11.461811248086004,-1.1765136865993582,YATSERVER,BINCSVL1,NOBREAK
heif,225.14840137958527,223.90577907562255,2.4485009955549453,2.3270928726550566,5.217158469544456,0.5549755388595987,YATSERVER,BINCSVL1,NOBREAK
ppmd,23.46823651790619,23.804096476236978,1.1091014692259296,1.5407230389541031,-28.014221817645655,-1.4109334444433563,YATSERVER,BINCSVL1,NOBREAK
zlib,7.132871341705322,7.0069930712382,0.24074287583354095,0.17095490890207066,40.82244106336101,1.7964663185385281,YATSERVER,BINCSVL1,NOBREAK
entropy,1.6599469900131223,1.8172605435053504,0.1673122826291888,0.653439453450109,-74.39513611463265,-8.65663176666912,YATSERVER,BINCSVL1,SLEEP
heif,202.215021276474,203.33367035388946,1.8325595413153775,2.233742683652322,-17.96013234975583,-0.5501543721059658,YATSERVER,BINCSVL1,SLEEP
ppmd,1.618794751167297,1.5610480388005572,1.0096650523057822,0.8317923252094783,21.384271254427414,3.6992271173864713,YATSERVER,BINCSVL1,SLEEP
zlib,1.2963737249374385,1.294547343254089,0.03680058490052103,0.024469032728069155,50.39656577150262,0.14108264891715133,YATSERVER,BINCSVL1,SLEEP
entropy,6.365103721618652,6.339858357111613,1.009369956113676,1.2347492253391386,-18.253039937203404,0.39820076545907573,YATSERVER,BINCSVL1,SWAP
heif,96.74087767601013,97.12941950162252,1.519352192468858,2.042133030698952,-25.59974450103107,-0.4000248612686316,YATSERVER,BINCSVL1,SWAP
ppmd,3.921878552436828,3.8216019709904985,0.640920266992773,0.7217174748032837,-11.195129760788088,2.623941012369199,YATSERVER,BINCSVL1,SWAP
zlib,3.1407243728637693,3.1172557274500523,0.15147477153266078,0.13717996964922496,10.420473134662618,0.7528623720875977,YATSERVER,BINCSVL1,SWAP
entropy,3.6077879667282104,3.654620758692423,0.5585975857525811,0.7306555191682573,-23.548434098128563,-1.2814679020476207,YATSERVER,BINCSVL1,UNLOCK
heif,227.45032861232758,229.01863146622975,4.035796473753418,4.464678596027038,-9.606114147953825,-0.6847926930056011,YATSERVER,BINCSVL1,UNLOCK
ppmd,1.4624463319778438,1.5027225494384764,0.49738213269654197,0.698594885491186,-28.802494403200534,-2.6802164827886985,YATSERVER,BINCSVL1,UNLOCK
